#  New York (Central Park), New York 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189512,51.8
189601,51.7
189602,52.2
189603,51.8
189604,52
189605,52.4
189606,52.1
189607,52.4
189608,52.4
189609,52.1
189610,52.2
189611,52.4
189612,52
189701,52.1
189702,52.2
189703,52.9
189704,52.7
189705,52.3
189706,52
189707,52
189708,51.7
189709,51.7
189710,52
189711,51.6
189712,52
189801,52.4
189802,52.6
189803,53.1
189804,52.8
189805,52.6
189806,53
189807,53
189808,53.2
189809,53.5
189810,53.7
189811,53.8
189812,53.5
189901,53.1
189902,52.4
189903,51.8
189904,51.9
189905,52.2
189906,52.5
189907,52.5
189908,52.5
189909,52.1
189910,52.1
189911,52.1
189912,52.4
190001,52.4
190002,52.6
190003,52.2
190004,52.3
190005,52
190006,51.8
190007,51.8
190008,51.9
190009,52.3
190010,52.5
190011,52.8
190012,52.6
190101,52.6
190102,52.3
190103,52.7
190104,52.5
190105,52.4
190106,52.4
190107,52.5
190108,52.3
190109,52.1
190110,51.7
190111,50.9
190112,50.9
190201,50.7
190202,50.9
190203,51.5
190204,51.7
190205,51.8
190206,51.4
190207,51
190208,50.7
190209,50.6
190210,50.7
190211,51.7
190212,51.4
190301,51.4
190302,51.7
190303,52
190304,52.2
190305,52.5
190306,52.3
190307,52.5
190308,52.2
190309,52.3
190310,52.3
190311,51.5
190312,51.5
190401,51
190402,50.3
190403,49.3
190404,48.8
190405,48.9
190406,49.4
190407,49.3
190408,49.6
190409,49.5
190410,49.1
190411,49.1
190412,48.9
190501,49.2
190502,49.1
190503,49.4
190504,49.6
190505,49.4
190506,49.3
190507,49.5
190508,49.7
190509,49.9
190510,50.3
190511,50.5
190512,51.2
190601,51.9
190602,52.6
190603,52.2
190604,52.4
190605,52.6
190606,52.9
190607,52.9
190608,53.1
190609,53.2
190610,53
190611,53.2
190612,52.8
190701,52.5
190702,51.9
190703,52.5
190704,52
190705,51.5
190706,51
190707,51
190708,50.7
190709,50.7
190710,50.2
190711,50.3
190712,50.6
190801,50.5
190802,50.8
190803,50.8
190804,51.2
190805,51.8
190806,52.2
190807,52.3
190808,52.2
190809,52.2
190810,52.8
190811,52.8
190812,52.6
190901,52.7
190902,53.5
190903,53.2
190904,52.9
190905,52.7
190906,52.8
190907,52.4
190908,52.4
190909,52.3
190910,51.9
190911,52.3
190912,52.1
191001,51.9
191002,51.2
191003,51.6
191004,52.2
191005,52.2
191006,51.9
191007,52.2
191008,52.2
191009,52.4
191010,52.8
191011,52.2
191012,52
191101,52.4
191102,52.6
191103,51.9
191104,51.4
191105,51.7
191106,51.9
191107,52
191108,52.1
191109,52
191110,51.8
191111,51.8
191112,52.7
191201,51.7
191202,51.4
191203,51.6
191204,51.8
191205,51.5
191206,51.5
191207,51.3
191208,51.2
191209,51.1
191210,51.3
191211,51.8
191212,51.8
191301,53.2
191302,53.4
191303,54
191304,54.2
191305,54
191306,54.1
191307,54.1
191308,54.3
191309,54.1
191310,54.1
191311,54
191312,54
191401,53.2
191402,52.7
191403,52
191404,51.6
191405,52
191406,51.8
191407,51.5
191408,51.6
191409,51.8
191410,51.8
191411,51.6
191412,51
191501,51.2
191502,52.1
191503,52.1
191504,52.7
191505,52.2
191506,52.1
191507,52.3
191508,52
191509,52.3
191510,52.2
191511,52.3
191512,52.5
191601,52.6
191602,51.9
191603,51.6
191604,51.1
191605,51.3
191606,51.1
191607,51.2
191608,51.5
191609,51.3
191610,51.3
191611,51.2
191612,51.2
191701,51
191702,51
191703,51.6
191704,51.6
191705,51
191706,51.4
191707,51.4
191708,51.5
191709,51.2
191710,50.8
191711,50.5
191712,49.8
191801,48.8
191802,49
191803,49.2
191804,49.4
191805,50.4
191806,50.1
191807,50
191808,50.1
191809,50.1
191810,50.6
191811,51
191812,52.2
191901,53.4
191902,53.7
191903,53.8
191904,53.8
191905,53.5
191906,53.8
191907,53.8
191908,53.4
191909,53.7
191910,53.7
191911,53.6
191912,52.8
192001,51.8
192002,51.3
192003,51
192004,50.8
192005,50.6
192006,50.4
192007,50.3
192008,50.6
192009,50.6
192010,50.8
192011,50.7
192012,51.3
192101,52.1
192102,52.6
192103,53.3
192104,54
192105,54.2
192106,54.3
192107,54.6
192108,54.4
192109,54.7
192110,54.3
192111,54.3
192112,53.9
192201,53.5
192202,53.5
192203,52.9
192204,52.5
192205,52.7
192206,52.8
192207,52.5
192208,52.6
192209,52.2
192210,52.4
192211,52.5
192212,52.6
192301,52.7
192302,52.1
192303,51.7
192304,51.6
192305,51.3
192306,51.4
192307,51.4
192308,51.4
192309,51.4
192310,51.2
192311,51.2
192312,51.9
192401,52.1
192402,52.4
192403,52.6
192404,52.5
192405,52.2
192406,51.8
192407,51.8
192408,51.9
192409,51.6
192410,51.7
192411,51.6
192412,50.9
192501,50.6
192502,51.3
192503,51.8
192504,52
192505,52.2
192506,52.7
192507,52.7
192508,52.6
192509,53
192510,52.4
192511,52.4
192512,52.5
192601,52.8
192602,52
192603,51.3
192604,51
192605,51
192606,50.4
192607,50.5
192608,50.6
192609,50.3
192610,50.7
192611,50.8
192612,50.3
