#  New York (Central Park), New York January Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,29.3
189601,28.1
189701,28.9
189801,33.5
189901,29.5
190001,30.4
190101,30.7
190201,28.6
190301,28.6
190401,23.5
190501,26.8
190601,35.9
190701,32.4
190801,30.5
190901,32.1
191001,29.7
191101,34.4
191201,22.5
191301,39.6
191401,30.3
191501,33.3
191601,34.8
191701,31.6
191801,20.5
191901,34.4
192001,22.2
192101,32.2
192201,27
192301,28.7
192401,31.5
192501,27.2
192601,30.8
192701,29.7
192801,32.7
192901,30.7
193001,32.1
193101,31.5
193201,42
193301,39.1
193401,33.4
193501,27.6
193601,28.1
193701,39
193801,30.9
193901,31
194001,23.8
194101,28.2
194201,29.5
194301,29.5
194401,32.7
194501,24
194601,32.9
194701,35.9
194801,24.2
194901,37.4
195001,40.5
195101,35.2
195201,35
195301,36.4
195401,29.6
195501,29.8
195601,31
195701,27.5
195801,30.9
195901,30.2
196001,32.9
196101,26.2
196201,30.5
196301,29.1
196401,34.6
196501,28.7
196601,30.9
196701,36.1
196801,25.4
196901,30.5
197001,23.9
197101,25.7
197201,34.1
197301,34.5
197401,34.2
197501,36.3
197601,26.6
197701,21.4
197801,27.6
197901,31.4
198001,32.2
198101,24.7
198201,24.6
198301,33
198401,28.6
198501,27.5
198601,33
198701,31.4
198801,28.7
198901,36.5
199001,40.5
199101,34
199201,34.9
199301,35.5
199401,24.7
199501,36.7
199601,30.5
199701,32.1
199801,40
199901,33.9
200001,31.3
200101,33.6
200201,39.9
200301,27.5
200401,24.7
200501,31.3
200601,40.9
200701,37.5
200801,36.5
200901,27.9
201001,32.5
201101,29.7
201201,37.3
201301,35.1
201401,28.7
201501,30
201601,34.5
201701,38.1
201801,31.8
201901,32.6
202001,39.2
202101,34.8
202201,30.4
202301,43.5
202401,37
202501,31.3
